City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
63,Grindavik,IS,2021-01-28 04:22:53,63.8424,-22.4338,26.6,74,0,16.11
64,Hithadhoo,MV,2021-01-28 04:27:21,-0.6,73.0833,81.75,78,99,14.58
65,Cockburn Town,TC,2021-01-28 04:27:22,21.4612,-71.1419,76.15,75,14,15.05
66,Agapovka,RU,2021-01-28 04:27:22,53.2973,59.1348,3.2,85,65,8.95
67,Teya,RU,2021-01-28 04:27:22,60.3778,92.6267,-29.07,81,100,2.53
68,Coroata,BR,2021-01-28 04:27:22,-4.13,-44.1242,73.2,97,100,2.68
69,Busselton,AU,2021-01-28 04:27:22,-33.65,115.3333,78.01,42,13,4.0
70,Trincomalee,LK,2021-01-28 04:27:22,8.5711,81.2335,79.38,73,68,14.07
71,Tiznit,MA,2021-01-28 04:27:23,29.5833,-9.5,61.74,37,0,3.29
72,Adrar,MR,2021-01-28 04:27:23,20.5022,-10.0711,61.66,30,0,10.18
73,Bengkulu,ID,2021-01-28 04:27:23,-3.8004,102.2655,78.03,86,100,2.73
74,Vila Franca Do Campo,PT,2021-01-28 04:27:23,37.7167,-25.4333,62.6,94,75,17.27
75,Harper,LR,2021-01-28 04:27:23,4.375,-7.7169,77.58,87,2,6.44
76,Puerto Del Rosario,ES,2021-01-28 04:26:27,28.5004,-13.8627,60.8,59,0,6.91
77,Porto Torres,IT,2021-01-28 04:27:24,40.835,8.3972,57.2,82,20,10.36
78,Presidencia Roque Saenz Pena,AR,2021-01-28 04:27:24,-26.7852,-60.4388,73.99,89,0,2.95
79,Pokhara,NP,2021-01-28 04:27:24,28.2333,83.9833,65.21,25,0,4.38
80,Codajas,BR,2021-01-28 04:27:24,-3.8367,-62.0569,74.12,96,93,1.5
81,Mikumi,TZ,2021-01-28 04:27:25,-7.4041,36.9831,70.41,92,84,3.51
82,Caravelas,BR,2021-01-28 04:27:25,-17.7125,-39.2481,74.35,86,58,4.09
83,Menongue,AO,2021-01-28 04:27:25,-14.6585,17.691,62.46,94,100,4.41
84,Mendoza,AR,2021-01-28 04:27:25,-32.8908,-68.8272,78.8,38,20,1.57
85,Santa Marta De Tormes,ES,2021-01-28 04:27:25,40.9506,-5.6272,46.99,100,39,3.44
86,Antsohihy,MG,2021-01-28 04:27:26,-14.8796,47.9875,76.82,90,9,0.49
87,Obsharovka,RU,2021-01-28 04:27:26,53.125,48.8531,17.11,96,100,9.91
88,Pangnirtung,CA,2021-01-28 04:27:26,66.1451,-65.7125,5.45,67,0,3.15
89,Arlit,NE,2021-01-28 04:27:26,18.7369,7.3853,57.92,31,0,4.61
90,Ahvaz,IR,2021-01-28 04:27:26,31.3203,48.6693,44.6,81,100,2.3
91,Carbonia,IT,2021-01-28 04:27:27,39.1672,8.5222,57.2,77,40,14.97
92,Mufulira,ZM,2021-01-28 04:27:27,-12.5498,28.2407,64.99,94,95,4.0
93,Sao Joao Da Barra,BR,2021-01-28 04:27:27,-21.6403,-41.0511,76.71,84,0,14.41
94,Cayenne,GF,2021-01-28 04:27:27,4.9333,-52.3333,78.8,78,0,8.05
95,Hualmay,PE,2021-01-28 04:22:37,-11.0964,-77.6139,70.34,84,100,8.12
96,Ribeira Grande,PT,2021-01-28 04:27:28,38.5167,-28.7,60.73,78,61,19.24
97,Timbiqui,CO,2021-01-28 04:27:28,2.7717,-77.6654,74.05,93,95,3.94
98,Kassala,SD,2021-01-28 04:27:28,15.451,36.4,66.42,73,6,5.35
99,Malanje,AO,2021-01-28 04:27:28,-9.5402,16.341,61.56,99,99,2.55
100,Vestmanna,FO,2021-01-28 04:27:28,62.1564,-7.1664,26.6,68,75,1.14
101,Vardo,NO,2021-01-28 04:27:28,70.3705,31.1107,23.0,86,75,20.71
102,Aleksandro-Nevskiy,RU,2021-01-28 04:27:29,53.4751,40.2095,32.0,90,100,12.86
103,Tambopata,PE,2021-01-28 04:27:29,-12.7333,-69.1833,72.91,99,100,1.92
104,Tukrah,LY,2021-01-28 04:27:29,32.5341,20.5791,53.65,76,90,10.69
105,Lebu,CL,2021-01-28 04:27:29,-37.6167,-73.65,54.36,91,85,3.78
106,Inhambane,MZ,2021-01-28 04:27:29,-23.865,35.3833,82.4,89,40,5.3
107,Libreville,GA,2021-01-28 04:27:30,0.3925,9.4537,75.2,88,20,4.61
108,Hollins,US,2021-01-28 04:27:30,37.3413,-79.9431,37.0,93,90,5.75
109,Torbay,CA,2021-01-28 04:27:30,47.6666,-52.7314,26.01,86,90,8.05
110,Asaba,NG,2021-01-28 04:27:30,6.2006,6.7338,76.23,86,59,3.02
111,Muros,ES,2021-01-28 04:27:31,42.7762,-9.0603,57.0,95,100,7.0
112,Mindelo,CV,2021-01-28 04:27:31,16.8901,-24.9804,68.0,83,20,19.57
113,Tirano,IT,2021-01-28 04:27:31,46.2154,10.1679,42.01,61,86,7.74
114,Xacmaz,AZ,2021-01-28 04:27:31,41.4635,48.806,45.21,58,100,6.58
115,Longyearbyen,SJ,2021-01-28 04:27:31,78.2186,15.6401,1.4,60,20,19.57
116,May Pen,JM,2021-01-28 04:27:32,17.9645,-77.2451,80.6,74,75,4.61
117,Mogadishu,SO,2021-01-28 04:27:32,2.0371,45.3438,75.2,69,20,10.36
118,Westport,US,2021-01-28 04:23:11,41.1415,-73.3579,32.0,64,90,10.36
119,Georgetown,MY,2021-01-28 04:27:32,5.4112,100.3354,86.0,66,20,4.61
120,Kottapalli,IN,2021-01-28 04:27:32,18.4833,79.1,75.2,66,100,9.71
121,Vizinga,RU,2021-01-28 04:27:32,61.0749,50.1031,24.19,97,71,7.38
122,Borovoy,RU,2021-01-28 04:27:33,55.4333,86.0833,8.6,78,90,0.67
123,Brae,GB,2021-01-28 04:27:33,60.3964,-1.353,28.4,86,59,2.3
124,Togul,RU,2021-01-28 04:27:33,53.465,85.9128,19.92,97,100,12.28
125,Solvychegodsk,RU,2021-01-28 04:27:33,61.3305,46.9156,24.48,97,52,7.18
126,Diamantino,BR,2021-01-28 04:27:33,-14.4086,-56.4461,72.61,90,92,2.01
127,Richards Bay,ZA,2021-01-28 04:27:33,-28.783,32.0377,70.72,93,100,16.87
128,Luderitz,NA,2021-01-28 04:23:26,-26.6481,15.1594,64.72,59,0,23.0
129,Odweyne,SO,2021-01-28 04:27:34,9.4092,45.064,61.66,49,0,3.36
130,Hobyo,SO,2021-01-28 04:27:34,5.3505,48.5268,76.66,70,87,21.36
131,Nuuk,GL,2021-01-28 04:27:35,64.1835,-51.7216,23.0,49,82,15.01
132,Kulhudhuffushi,MV,2021-01-28 04:27:35,6.6221,73.07,80.74,67,0,11.79
133,Misratah,LY,2021-01-28 04:27:35,32.3754,15.0925,55.4,54,15,17.52
134,Salalah,OM,2021-01-28 04:27:35,17.0151,54.0924,68.0,40,0,1.14
135,Malakal,SS,2021-01-28 04:27:35,9.5334,31.6605,76.42,22,33,6.85
136,Colesberg,ZA,2021-01-28 04:27:35,-30.72,25.0972,53.94,76,78,14.9
137,Dekar,BW,2021-01-28 04:27:35,-21.5333,21.9333,70.21,76,100,3.2
138,Mozarlandia,BR,2021-01-28 04:27:36,-14.7447,-50.5706,73.04,89,100,3.22
139,Raga,SS,2021-01-28 04:27:36,8.4596,25.678,66.81,27,10,2.28
140,Formosa,AR,2021-01-28 04:27:36,-26.1775,-58.1781,75.2,94,0,2.21
141,Saint-Joseph,RE,2021-01-28 04:27:36,-21.3667,55.6167,84.2,54,0,4.61
142,Konskie,PL,2021-01-28 04:27:36,51.1917,20.4061,30.0,10,48,5.48
143,Sao Jose Da Coroa Grande,BR,2021-01-28 04:27:36,-8.8978,-35.1478,76.55,84,39,6.58
144,Chuy,UY,2021-01-28 04:27:37,-33.6971,-53.4616,64.6,89,30,2.53
145,Cidreira,BR,2021-01-28 04:27:37,-30.1811,-50.2056,73.54,93,81,9.13
146,Koumra,TD,2021-01-28 04:27:37,8.9126,17.5539,69.19,23,40,4.85
147,Pisco,PE,2021-01-28 04:27:37,-13.7,-76.2167,70.0,73,0,2.3
148,Klaksvik,FO,2021-01-28 04:27:37,62.2266,-6.589,26.6,68,75,1.14
149,Dikson,RU,2021-01-28 04:27:37,73.5069,80.5464,-26.57,83,100,8.99
150,Kanniyakumari,IN,2021-01-28 04:27:38,8.0833,77.5667,77.54,66,90,21.7
151,Nizhniy Baskunchak,RU,2021-01-28 04:27:38,48.2198,46.8311,29.19,93,100,15.82
152,Ponta Delgada,PT,2021-01-28 04:27:38,37.7333,-25.6667,62.6,94,75,17.27
153,Karasjok,NO,2021-01-28 04:27:38,69.4719,25.5112,19.4,73,90,2.3
154,Mokhotlong,LS,2021-01-28 04:27:38,-29.2894,29.0675,53.85,83,100,1.41
155,Manaure,CO,2021-01-28 04:27:38,11.7751,-72.4445,77.22,78,61,14.25
156,Loandjili,CG,2021-01-28 04:27:39,-4.7561,11.8578,75.2,100,20,3.44
157,Galbshtadt,RU,2021-01-28 04:27:39,53.2264,78.9845,19.53,98,100,8.12
158,Berlevag,NO,2021-01-28 04:27:39,70.8578,29.0864,24.8,74,75,11.5
159,Narsaq,GL,2021-01-28 04:27:39,60.9167,-46.05,39.2,33,75,24.16
160,Businga,CD,2021-01-28 04:27:39,3.3333,20.8833,69.28,97,100,1.79
161,Sisimiut,GL,2021-01-28 04:27:40,66.9395,-53.6735,8.42,78,0,11.16
162,Sorland,NO,2021-01-28 04:27:40,67.667,12.6934,32.56,89,0,15.68
163,Polunochnoye,RU,2021-01-28 04:27:40,60.8697,60.4153,20.7,96,100,5.73
164,Souillac,MU,2021-01-28 04:27:40,-20.5167,57.5167,80.6,78,20,3.44
165,Tougue,GN,2021-01-28 04:27:40,11.4667,-11.6,62.29,27,0,1.5
166,Alekseyevka,RU,2021-01-28 04:27:40,50.6309,38.6903,35.47,91,100,14.67
167,Inirida,CO,2021-01-28 04:27:40,3.8653,-67.9239,74.43,90,100,3.51
168,Tasiilaq,GL,2021-01-28 04:27:41,65.6145,-37.6368,23.0,50,90,21.85
169,Chapais,CA,2021-01-28 04:27:41,49.7834,-74.8492,10.4,85,90,10.36
170,Iralaya,HN,2021-01-28 04:27:41,15.0,-83.2333,77.95,79,0,10.92
171,Filadelfia,US,2021-01-28 04:25:52,39.9523,-75.1638,32.0,59,90,11.5
172,Betioky,MG,2021-01-28 04:27:41,-23.7167,44.3833,78.44,72,3,3.74
173,Castro,BR,2021-01-28 04:27:41,-24.7911,-50.0119,66.7,89,100,4.05
174,Laguna,US,2021-01-28 04:27:41,38.421,-121.4238,48.2,87,90,10.36
175,Tessalit,ML,2021-01-28 04:27:42,20.1986,1.0114,60.6,27,0,7.63
176,Snasa,NO,2021-01-28 04:27:42,64.2457,12.3778,21.18,95,100,2.86
177,Ilulissat,GL,2021-01-28 04:27:42,69.2167,-51.1,-0.4,60,0,3.44
178,Alberton,CA,2021-01-28 04:27:42,46.8168,-64.0654,26.6,93,98,12.66
179,Alakurtti,RU,2021-01-28 04:27:42,66.9672,30.3491,16.0,87,100,5.01
180,Ponta Do Sol,PT,2021-01-28 04:27:43,32.6667,-17.1,59.0,78,55,1.01
181,Khokhryaki,RU,2021-01-28 04:27:43,56.9156,53.3221,21.99,77,100,4.0
182,Acari,PE,2021-01-28 04:27:43,-15.4311,-74.6158,70.7,70,23,3.42
183,Ipixuna,BR,2021-01-28 04:27:43,-1.7625,-48.8043,77.0,94,0,3.44
184,Uyuni,BO,2021-01-28 04:27:43,-20.4597,-66.825,47.93,48,1,10.27
185,Tamandare,BR,2021-01-28 04:27:43,-8.7597,-35.1047,75.9,84,22,5.59
186,Lujan,AR,2021-01-28 04:27:43,-34.5703,-59.105,75.99,66,0,3.0
187,Qaqortoq,GL,2021-01-28 04:27:44,60.7167,-46.0333,39.2,33,75,24.16
188,Aktas,KZ,2021-01-28 04:27:44,49.7789,72.9608,21.2,86,90,4.47
189,Aksu,CN,2021-01-28 04:27:44,41.1231,80.2644,27.18,75,0,2.17
