City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
271,Halmstad,SE,56.6745,12.8568,272.15,93,20,2.06,few clouds
272,Imeni Poliny Osipenko,RU,52.4201,136.4853,238.8,83,63,2.19,broken clouds
273,Belaya Gora,RU,68.5333,146.4167,245.12,88,100,6.44,light snow
274,San Quintin,MX,30.4833,-115.95,290.47,53,100,3.05,overcast clouds
275,Ancud,CL,-41.8697,-73.8203,293.15,60,0,5.14,clear sky
276,Goiania,BR,-16.6786,-49.2539,304.15,48,40,2.06,scattered clouds
277,Gumaus,PH,14.3103,122.7229,297.15,88,61,4.53,broken clouds
278,Teya,RU,60.3778,92.6267,247.82,82,92,0.98,overcast clouds
279,Sistranda,NO,63.7256,8.834,271.15,80,75,6.69,broken clouds
280,Pisco,PE,-13.7,-76.2167,297.04,68,0,3.6,clear sky
281,Basoko,CD,1.2391,23.616,301.83,53,56,0.37,broken clouds
282,Yulara,AU,-25.2406,130.9889,301.15,44,39,5.14,scattered clouds
283,San Clemente,US,33.427,-117.612,288.71,68,100,0.55,overcast clouds
284,Fernley,US,39.608,-119.2518,278.15,59,54,0.45,broken clouds
285,Werda,BW,-25.2667,23.2833,298.75,52,96,4.01,overcast clouds
286,Warmbad,NA,-28.45,18.7333,304.47,13,0,5.73,clear sky
287,Beloha,MG,-25.1667,45.05,300.53,70,52,2.75,broken clouds
288,Mishan,CN,45.55,131.8833,250.31,87,51,5.79,broken clouds
289,Sioux Lookout,CA,50.1001,-91.917,266.15,86,90,3.09,light snow
290,Sept-Iles,CA,50.2001,-66.3821,269.15,42,0,0.51,clear sky
291,Tiksi,RU,71.6872,128.8694,242.28,87,100,4.27,overcast clouds
292,Davila,PH,18.4726,120.5763,296.08,76,7,4.69,clear sky
293,Ndioum,SN,16.5129,-14.6471,307.15,16,0,1.03,clear sky
294,Bantou,CN,26.2151,117.4893,286.2,76,29,0.65,scattered clouds
295,Mangrol,IN,21.1167,70.1167,295.52,49,0,3.35,clear sky
296,Novotroitsk,RU,51.203,58.3266,268.15,93,90,2.0,overcast clouds
297,Minas,UY,-34.3759,-55.2377,296.48,94,75,6.17,light intensity drizzle
298,Mehamn,NO,71.0357,27.8492,271.15,80,75,3.09,light snow
299,Burnie,AU,-41.0667,145.9167,284.26,78,2,5.36,clear sky
300,Tashtyp,RU,52.7939,89.8983,254.31,86,87,0.95,overcast clouds
301,Avera,US,33.194,-82.5271,279.15,65,90,7.2,overcast clouds
302,Namanyere,TZ,-7.5167,31.05,291.03,93,100,0.37,light rain
303,Tautira,PF,-17.7333,-149.15,300.15,65,20,1.54,few clouds
304,Dongsheng,CN,39.8161,109.9776,259.37,60,0,3.73,clear sky
305,Roncesvalles,CO,4.0108,-75.6049,293.01,55,58,2.75,broken clouds
306,Faya,SA,18.3851,42.4509,289.15,88,0,2.57,clear sky
307,Seredka,RU,58.1584,28.1858,271.15,86,75,4.0,light snow
308,Kahului,US,20.8947,-156.47,294.15,78,40,3.09,scattered clouds
309,Champerico,GT,14.3,-91.9167,305.15,48,0,3.09,clear sky
310,Waipawa,NZ,-41.4122,175.5153,285.15,87,36,1.54,scattered clouds
311,Lompoc,US,34.6391,-120.4579,285.93,81,1,1.73,clear sky
312,Umm Lajj,SA,25.0213,37.2685,297.1,60,0,2.45,clear sky
313,Tonj,SS,7.2737,28.6822,303.64,20,21,2.04,few clouds
314,Ostrovnoy,RU,68.0531,39.5131,266.21,96,100,5.39,light snow
315,Taoudenni,ML,22.6783,-3.9836,302.96,14,4,6.73,clear sky
316,Vostok,RU,46.4856,135.8833,247.25,90,100,1.7,overcast clouds
317,Cap Malheureux,MU,-19.9842,57.6142,300.93,80,5,4.02,clear sky
318,Thinadhoo,MV,0.5333,72.9333,301.67,73,35,3.68,scattered clouds
319,Cabedelo,BR,-6.9811,-34.8339,303.15,58,75,6.17,broken clouds
320,Podor,MR,16.6527,-14.9587,307.15,16,0,1.03,clear sky
321,Makakilo City,US,21.3469,-158.0858,293.15,88,1,1.54,clear sky
322,Anori,BR,-3.7728,-61.6442,304.46,62,30,1.77,scattered clouds
323,Port-Cartier,CA,50.0334,-66.8654,269.15,42,0,0.51,clear sky
324,Port Keats,AU,-14.25,129.55,300.41,80,98,3.05,overcast clouds
325,Jadu,LY,31.953,12.0261,286.41,49,40,5.02,scattered clouds
326,Constitucion,CL,-35.3333,-72.4167,291.77,66,7,5.71,clear sky
327,Kapuskasing,CA,49.4169,-82.4331,256.15,78,100,0.51,overcast clouds
328,Pampa,US,35.5362,-100.9599,286.15,35,1,6.17,clear sky
329,Souillac,MU,-20.5167,57.5167,300.15,89,75,3.6,light rain
330,Sangamner,IN,19.5667,74.2167,295.84,29,0,4.44,clear sky
331,Port-Gentil,GA,-0.7193,8.7815,302.15,79,40,5.14,scattered clouds
332,Kyren,RU,51.6828,102.1408,251.68,73,42,0.44,scattered clouds
333,Korla,CN,41.7597,86.1469,269.02,83,15,1.68,few clouds
334,Erzin,TR,36.9559,36.2,285.93,76,0,2.24,clear sky
335,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,265.15,53,100,8.0,overcast clouds
